time,kapasite_faktoru
0,0
1,0
2,0
3,0
4,0
5,0
6,0.0375
7,0.125
8,0.4125
9,0.625
10,0.8625
11,0.7625
12,0.875
13,0.775
14,0.7125
15,0.475
16,0.2625
17,0.025
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0.025
31,0.1375
32,0.45
33,0.625
34,0.775
35,0.8625
36,0.8375
37,0.84375
38,0.7
39,0.4875
40,0.275
41,0.025
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0.05
55,0.15
56,0.425
57,0.725
58,0.725
59,0.825
60,0.8125
61,0.8125
62,0.7125
63,0.4625
64,0.2125
65,0.025
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0.03125
79,0.125
80,0.4
81,0.65
82,0.6875
83,0.8
84,0.825
85,0.7125
86,0.7125
87,0.5
88,0.225
89,0.025
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0.05
102,0.1125
103,0.175
104,0.5625
105,0.5875
106,0.7125
107,0.8
108,0.7875
109,0.675
110,0.5
111,0.225
112,0.01875
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0.0875
127,0.2875
128,0.4625
129,0.5875
130,0.825
131,0.725
132,0.625
133,0.5
134,0.425
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0.0125
143,0.0125
144,0.325
145,0.5875
146,0.3875
147,0.4375
148,0.475
149,0.325
150,0.1875
151,0.1625
152,0.025
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0.025
165,0.1875
166,0.075
167,0.15
168,0.2375
169,0.325
170,0.2875
171,0.3625
172,0.25
173,0.125
174,0.0375
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0.025
190,0.03125
191,0.0625
192,0.2375
193,0.45
194,1
195,0.5625
196,0.4375
197,0.2625
198,0.0625
199,0.01
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0.1025
214,0.44
215,0.67375
216,0.865
217,1
218,0.9875
219,0.82375
220,0.8
221,0.56375
222,0.265
223,0.01
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0.012244898
261,0.116326528
262,0.491836725
263,0.646938763
264,0.828571412
265,0.136734691
266,0.826530596
267,0.791836719
268,0.628571416
269,0.399999992
270,0.0877551
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0.097959182
286,0.465306113
287,0.675510191
288,0.763265291
289,0
290,0.818367331
291,0.732653047
292,0.618367335
293,0.35714285
294,0.079591835
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0.118367345
310,0.426530604
311,0.646938763
312,0.771428556
313,0.851020392
314,0.775510189
315,0.742857128
316,0.557142846
317,0.365306115
318,0.073469386
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0.000775194
333,0.104651162
334,0.417829454
335,0.662015499
336,0.757364335
337,0.488372089
338,0.744961235
339,0.476744183
340,0.366666664
341,0.189147285
342,0.062015503
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0.058139534
358,0.373643408
359,0.603100771
360,0.772868211
361,0.81550387
362,0.788372087
363,0.736434103
364,0.654263561
365,0.193798448
366,0.046511628
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0.022448979
381,0.006122449
382,0.165306119
383,0.465306113
384,0.585714274
385,0.557142846
386,0.716326517
387,0.528571418
388,0.39591836
389,0.155102038
390,0.022448979
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
